OBJECTID,Site Name,Brief Description,NHA Join ID,COUNTY_NAM
32,Carnahan Run,Forest and stream corridor provide habitat for two species of concern.,alj82509,ARMSTRONG
33,Carnahan Run at Stitts Run Road,Stream corridor provides habitat for a sensitive species of concern.,alj82511,ARMSTRONG
34,Whiskey Run,Stream provides habitat for a sensitive species of concern.,alj82514,ARMSTRONG
36,Crooked Creek at Iron Bridge Road,Aquatic habitat supports a sensitive species of concern.,alj82515,ARMSTRONG
37,Crooked Creek Near Fagley Run,Forested area near Crooked Creek provides nesting habitat for a species of concern.,alj82516,ARMSTRONG
38,Cherry Run at Cochrans Mills,Aquatic and forest habitat supports two species of concern.,alj82517,ARMSTRONG
39,Crooked Creek at Rossford,Aquatic and riparian habitat for a species of concern.,alj82522,ARMSTRONG
40,Redbank Creek at Mayport,This section of Redbank Creek supports a sensitive species of concern.,alj82935,ARMSTRONG
41,Allegheny River Pool #6,This stretch of the Allegheny River supports a variety of species in the river and along the banks.,alj82942,ARMSTRONG
42,Kiski River at Vandergrift,This stretch of the Kiski River supports a fish species of concern.,alj83341,ARMSTRONG
44,Armstrong Trail,The steeply sloping rich forest along the Allegheny River provides habitat for a plant species of concern.,alj83343,ARMSTRONG
46,Little Mahoning Creek - Lower,Little Mahoning Creek hosts many species of concern.,alj84143,ARMSTRONG
602,Pine Hollow Road,Forested habitat along the Allegheny River supports a butterfly species of concern.,alj82945,ARMSTRONG
603,Keystone Lake,"Keystone Lake, and the forested areas surrounding it, provide habitat for a number of species of concern.",alj82940,ARMSTRONG
604,South Branch Plum Creek,Aquatic and riparian habitat along Plum Creek provide habitat for a number of species of concern.,alj82526,ARMSTRONG
606,Plum Creek at Crooked Creek,Creeks provide habitat for a sensitive species of concern.,alj82525,ARMSTRONG
608,Cherry Run at US 422,Aquatic habitat supports a sensitive species of concern.,alj82524,ARMSTRONG
609,Buffalo Creek at Craigsville,Rocky cliffs along Buffalo Creek provide habitat for a species of concern.,alj82506,ARMSTRONG
610,Buffalo Creek Valley,Stream valleys and forests provide habitat for several species of concern.,alj82505,ARMSTRONG
612,Todd Sanctuary,Forest and stream corridor provides habitat for species of concern.,alj82105,ARMSTRONG
615,Long Run Mine,Abandoned mine site supports a number of species of concern.,alj81711,ARMSTRONG
617,Roaring Run-Armstrong County,"The meadows, open areas, and forests around Roaring Run support several butterfly species of concern.",alj82512,ARMSTRONG
619,Schenley Road,"Sandy, open areas provide habitat for a plant species of concern.",alj82507,ARMSTRONG
620,Chestnut Road,"Disturbed, dry woods support a plant species of concern.",alj82510,ARMSTRONG
621,Mahoning Creek,"Mahoning Creek, below Mahoning Creek Lake, provides habitat for a number of species of concern",alj81703,ARMSTRONG
622,Cowanshannock Creek at Stone House,Forested landscape provides habitat for a species of concern.,alj81701,ARMSTRONG
623,Armstrong Trail south of Templeton,Several species of concern are supported by the rich forest along the Allegheny River.,alj80902,ARMSTRONG
624,Templeton Mine,This abandoned mine and surrounding forest provides habitat for two species of concern. ,alj80101,ARMSTRONG
625,US Steel Mine #2,Abandoned mine provides habitat for several species of concern.,alj78898,ARMSTRONG
626,Bear Creek and North Branch Valleys,"This creek valley hosts several species of concern, including two rare dragonflies.",alj78884,ARMSTRONG
628,Mutton Hollow Road,Forested areas provide habitat for a sensitive species of concern,alj82523,ARMSTRONG
629,Kelly Station Road,A moth species of concern makes use of wooded and scrubby areas.,alj82521,ARMSTRONG
630,Crooked Creek Outflow,River below dam is habitat for several species of concern.,alj82520,ARMSTRONG
631,Crooked Creek Reservoir,Crooked Creek Lake and the surrounding forest provides habitat for a number of species of concern.,alj82519,ARMSTRONG
632,Hemlock Road,Forested area provides habitat for a sensitive species of concern.,alj82513,ARMSTRONG
633,Crooked Creek Reservoir Floodplain,A floodplain provides habitat for two rare species.,alj82518,ARMSTRONG
634,Glade Run at Dayton,A species of concern is supported by the floodplains along Glade Run,alj82528,ARMSTRONG
635,North Branch Plum Creek,Plum Creek provides habitat for an aquatic species of concern.,alj82527,ARMSTRONG
637,Redbank Creek,Redbank Creek provides habitat for several species of concern.,alj82926,ARMSTRONG
638,Mahoning Creek Reservoir Shoreline,The reservoir shoreline provides habitat for two species of concern.,alj82529,ARMSTRONG
639,Allegheny River Pool #9,A stretch of the Allegheny River between dams provides habitat for many aquatic and riparian species.,alj82929,ARMSTRONG
640,Allegheny River Pool #8,A stretch of the dammed portion of the Allegheny River which supports many aquatic species of concern.,alj82928,ARMSTRONG
641,Allegheny River Stretch through Emlenton and Foxburg,This stretch of the Allegheny River many species of concern in the aquatic and riparian habitats.,alj82937,ARMSTRONG
643,Allegheny River Stretch through Parker and Hillvale,"This stretch of the Allegheny River, and slopes, islands, and riparian forested areas support a large number of species of concern.",alj82936,ARMSTRONG
644,Huling Run at the Allegheny River,A rare natural forest community is found along the Allegheny River,alj82931,ARMSTRONG
645,Allegheny River Pool #7,This stretch of the Allegheny River supports many aquatic species of concern.,alj82941,ARMSTRONG
647,Allegheny River Pool #4,"This pool in the Allegheny River, and the surrounding riparian areas, host many species of concern.",alj83344,ARMSTRONG
650,Allegheny River Pool #5,"This section of the Allegheny River, along with islands and river banks, supports a large number of species of concern.",alj83342,ARMSTRONG
85,Little Beaver Creek at New Galilee,Little Beaver Creek and surrounding wetlands provide habitat for a variety of species of concern.,alj84988,BEAVER
91,Beaver River at Connoquenessing Creek,This stretch of the Beaver River hosts several rare aquatic species of concern.,alj84993,BEAVER
93,Connoquenessing Creek at Ellport,"Connoquenessing Creek provides habitat for several freshwater mussel species, as well as nesting habitat for a bird species of concern.",alj84994,BEAVER
167,Connoquenessing Creek at Old Furnace Road,Blue herons nest along Connosquenessing Creek.,alj86652,BEAVER
168,Connoquenessing Creek at Nagel Road,The forested landscape along Connoquenessing Creek supports two species of concern.,alj86653,BEAVER
169,Brush Creek Park,A sensitive species of concern is found in this stretch of creek.,alj86654,BEAVER
170,Stiefel Park,An abandoned mine provides habitat for sensitive species of concern.,alj86655,BEAVER
171,Stockman Run,Stockman Run supports a fish species of concern.,alj86656,BEAVER
172,Brush Creek at Glen Eden Road,Blue herons nest along Brush Creek.,alj86657,BEAVER
173,Beaver Falls,Several species of concern are found in and around this stretch of the Beaver River.,alj86658,BEAVER
174,Fallston,A bald eagle and a sensitive species of concern are found in the wooded patches along Beaver River.,alj86659,BEAVER
175,Beaver River near Fallston,Ospreys nest along Beaver River.,alj86660,BEAVER
176,Bridgewater,A sensitive species of concern inhabits the steep slopes near Brighton.,alj86661,BEAVER
177,Brady's Run County Park,Brady's Run County Park supports several species of concern.,alj86662,BEAVER
178,North Branch Brady Run,Forested slopes along North Branch Brady Run support a plant species of concern.,alj86663,BEAVER
179,Big Beaver Borough Wetlands,Wetlands support a Pennsylvania-endangered plant species.,alj86664,BEAVER
180,Darlington Swamp and North Fork Little Beaver Creek,This stretch of creek and a rare floodplain community host multiple species of concern.,alj86665,BEAVER
181,North Fork Little Beaver Creek at State Game Land 285,"This stretch of creek, the associated floodplain wetlands, and surrounding forest support multiple species of concern.",alj86666,BEAVER
182,Painter Run,Wetland habitat along Painter Run supports a plant species of concern.,alj86667,BEAVER
183,North Fork Big Sewickley Creek,A fish species of concern is found in this stretch of creek.,alj86668,BEAVER
184,Raccoon Creek State Park,"Raccoon Creek State Park hosts a variety of species of concern, including butterflies, moths, and fish.",alj86670,BEAVER
185,Old Fork Kings Creek,A fish species of concern is found in this stretch of creek.,alj86671,BEAVER
186,Little Service Run,A fish species of concern inhabits Little Service Run.,alj86672,BEAVER
187,Raccoon Creek Wildflower Preserve,"The wildflower preserve in Raccoon Creek State Park, and the surrounding stream corridors, provide habitat for numerous species of concern.",alj86673,BEAVER
188,Raccoon Creek Valley,The stream valley surrounding Raccoon Creek hosts many species of concern.,alj86674,BEAVER
189,Cottage Road,A Pennsylvania-endangered plant species is found along forest edges. ,alj86675,BEAVER
190,Ambridge Reservoir,A butterfly species of concern inhabits the woods near Ambridge Reservoir.,alj86676,BEAVER
191,Lower Raccoon Creek,Beaver Creek and the surrounding wooded slopes provide habitat for multiple species of concern.,alj86677,BEAVER
192,Patterson Road,A plant species of concern is found at the forest edges.,alj86678,BEAVER
193,Mill Creek in Beaver County,A sensitive species of concern is found in this stretch of Mill Creek.,alj86679,BEAVER
194,Little Beaver Creek Floodplain,"A floodplain forest community occurs along Little Beaver Creek, as well as a sensitive species of concern.",alj86680,BEAVER
195,Ohio River Montgomery Pool,Many rare species are found in and around this stretch of the Ohio River.,alj86681,BEAVER
196,Ohio River Beaver County,"Many species of concern are found in the Ohio River in Beaver County, and nesting along its shores.",alj86682,BEAVER
197,Monaca Bluffs,Steep slopes above the river floodplain consisting mostly of fill and slag support several rare species of concern.,alj86683,BEAVER
200,Linbrook Woodlands Conservation Area,A small community of concern and a sensitive species of concern are found here.,alj86685,BEAVER
364,Ohio River Allegheny County,Many species of concern rely on this stretch of the Ohio River for habitat.,alj86704,BEAVER
657,Big Sewickley Creek Woods,Many blue herons nest in the woods along Big Sewickley Creek.,alj86669,BEAVER
28,Upper Buffalo Creek,Aquatic and riparian habitats along Buffalo Creek support a variety of species of concern.,alj81704,BUTLER
30,Cornplanter Run-Armstrong & Butler Counties,Stream habitat provides habitat for a species of concern.,alj81712,BUTLER
117,Slippery Rock Creek at Elliots Mills,The creek and surrounding floodplains provide habitat for several species of concern.,alj85416,BUTLER
121,County Line Grasslands,Hay fields and fallow fields on the border of Venango and Butler Counties provide habitat for several bird species of concern.,alj85419,BUTLER
122,North Branch Slippery Rock Creek,The creek and its tributaries support an aquatic species of concern.,alj85420,BUTLER
123,Shields Road,Open wet areas provide habitat for two plant species of concern.,alj85421,BUTLER
124,Slippery Rock Creek Natural Area,"Forest, wetland, and aquatic habitats support many species of concern.",alj85422,BUTLER
125,West Liberty Fen,The wetlands provide habitat for many rare species of concern.,alj85423,BUTLER
126,West Liberty Road,Bald eagles nest in a small woodlot surrounded by agricultural fields.,alj85822,BUTLER
127,Wolf Creek Narrows,"The wetlands, forests, and creek habitat along Wolf Creek support many species of concern.",alj85823,BUTLER
129,Slippery Rock Creek,This stretch of Slippery Rock Creek hosts a fish species of concern.,alj85824,BUTLER
130,Branchton Road,"A matrix of agricultural fields, pastures, and woodlots providdes habitat for a bird species of concern.",alj85825,BUTLER
131,Rock Falls Park,This stretch of creek hosts rare freshwater mussels.,alj85826,BUTLER
132,Jennings Environmental Education Center,"Many species of concern are found in the small prairie, surrounding forest, and riparian and stream areas of the Jennings Environmental Education Center State Park.",alj85827,BUTLER
133,Big Run,A sensitive aquatic species of concern is found within this stretch of Big Run,alj85828,BUTLER
134,Muddy Creek Marsh,The wetlands along Muddy Creek and Lake Arthur support numerous species of concern.,alj85829,BUTLER
135,North Shore Cove Marsh,This marshy section of Lake Arthur provides habitat for several species of concern.,alj85830,BUTLER
136,Lake Arthur,Lake Arthur and its shorelines support many species of concern.,alj85831,BUTLER
137,Moraine State Park South Shore Entrance,Open upland areas along roadsides support a butterfly species of concern.,alj85833,BUTLER
138,Moraine State Park at Big Run,"Upland forests along the edge of Lake Arthur, near Big Run, support a butterfly species of concern.",alj85834,BUTLER
139,Prospect Road,A species of concern nests near Lake Arthur.,alj85835,BUTLER
140,East Portersville Road,A bird species of concern nests near Lake Arthur.,alj85836,BUTLER
141,Moraine State Park Glacier Ridge Trail,A sensitive species of concern inhabits the moist woodland slopes along Lake Arthur.,alj85837,BUTLER
142,Hidden River Cliffs,Steep limestone cliffs support several snail species of concern.,alj85838,BUTLER
143,South Ragan Road,Two birds nest in the patchwork of agricultural fields and woodlots.,alj85839,BUTLER
144,Roenigk Lane,A bald eagle nests in the woodlots  south of Lake Arthur.,alj85840,BUTLER
145,Flinner Road,An osprey nests near Yellow Creek.,alj85842,BUTLER
146,Crab Run Road,Moist woodland hosts a plant species of concern.,alj85843,BUTLER
147,Connoquenessing Creek at Twin Oak Lane,This stretch of creek supports a sensitive species of concern.,alj85844,BUTLER
148,Glade Run,The wet meadows near Glade Run support a plant species of concern.,alj85845,BUTLER
149,Connoquenessing Creek at Wahlville,Many blue herons nest near this stretch of Connoquenessing Creek.,alj85846,BUTLER
150,Connoquenessing Creek at Welsh Road,A species of concern nests near this stretch of Connoquenessing Creek.,alj85847,BUTLER
151,Connoquenessing Creek at Shannon Road,Floodplains along this stretch of Connoquenessing Creek support a population of a rare plant species of concern.,alj85848,BUTLER
152,Connoquenessing Creek at Stucky Road,Swampy floodplains along the Connoquenessing Creek support a community and species of concern.,alj85849,BUTLER
153,Connoquenessing Creek at Brownsdale Road,This stretch of Connoquenessing Creek provides habitat for a freshwater mussel species of concern.,alj85850,BUTLER
154,Connoquenessing Creek at Blackberry Lane,A snail species of concern inhabits the calcium-rich slopes along Connoquenessing Creek.,alj85851,BUTLER
155,Thorn Creek,Thorn Creek supports two aquatic species of concern.,alj85852,BUTLER
156,Glade Run at Glade Mills,Glade Run supports a sensitive species of concern.,alj85853,BUTLER
157,Thorn Creek at Dinnerbell Road,Thorn Run provides habitat for a sensitive species of concern.,alj85854,BUTLER
158,Little Buffalo Creek,Several butterfly species of concern and a plant species of concern are found along Little Buffalo Creek.,alj85855,BUTLER
159,West Sunbury Road,Wooded areas around an abandoned strip mine provide habitat for a sensitive species of concern.,alj86240,BUTLER
160,Oneida Valley Reservoir,Two species of birds nest near the Oneida Valley Reservoir.,alj86640,BUTLER
161,Thorn Reservoir,The wet meadows near Thorn Reservoir support a butterfly species of concern.,alj86641,BUTLER
162,Butler-Freeport Community Trail,Two snail species of concern occur along this section of the Butler-Freeport Community rail trail.,alj86642,BUTLER
163,North Branch Wetlands,A wetland community of concern is found along the North Branch of Slippery Rock Creek.,alj86648,BUTLER
164,Seaton Creek Wetlands,A wetland community is found along Seaton Creek.,alj86649,BUTLER
165,Bear Creek,Wooded slopes along Bear Creek support a population of a rare plant species.,alj86650,BUTLER
166,South Branch Little Scrubgrass Creek,This stretch of creek supports multiple odonate species of concern.,alj86651,BUTLER
202,Branchton Bottoms,Habitat surounding Findlay Run provides habitat for a variety of species of concern.,alj86644,BUTLER
203,Surface Mine Road,A surface mine provides habitat for a species of concern.,alj86645,BUTLER
204,Christie Run,Area along Christie Run provides habitat for a plant species of concern.,alj86646,BUTLER
588,State Game Land #95,Forested landscape along streams through State Game Lands #95 provides habitat for several species and communities of concern.,alj86647,BUTLER
591,Merriman's Lake,An osprey nests near Merriman's Lake.,alj85841,BUTLER
592,Swamp Run Marsh,This marshy area along the shore of Lake Arthur supports a sensitive species of concern.,alj85832,BUTLER
611,Buffalo Creek Valley,Stream valleys and forests provide habitat for several species of concern.,alj82505,BUTLER
613,Todd Sanctuary,Forest and stream corridor provides habitat for species of concern.,alj82105,BUTLER
616,Long Run Mine,Abandoned mine site supports a number of species of concern.,alj81711,BUTLER
627,Bear Creek and North Branch Valleys,"This creek valley hosts several species of concern, including two rare dragonflies.",alj78884,BUTLER
642,Allegheny River Stretch through Emlenton and Foxburg,This stretch of the Allegheny River many species of concern in the aquatic and riparian habitats.,alj82937,BUTLER
648,Allegheny River Pool #4,"This pool in the Allegheny River, and the surrounding riparian areas, host many species of concern.",alj83344,BUTLER
652,Jacksville Esker,The best remaining example of esker glacial deposit in Western Pennsylvania.,alj85820,BUTLER
653,The Glades Wildlife Area,Landscape surrounding Glade Dam Lake supports numerous species of concern.,alj86643,BUTLER
693,Harrison Hills,Two sensitive species of concern occur along the banks of the Allegheny River.,alj90266,BUTLER
695,Logan Road Woodlot,A rare species of slug occurs in a small patch of woodland.,alj90268,BUTLER
698,Hall Road,An osprey nests on a communication tower in a small forest patch.,alj90274,BUTLER
699,Tamarack Lake,"Wetlands surrounding Tamarack Lake, supporting multiple species of concern.",alj90275,BUTLER
285,Monongahela River at Fayette City,This stretch of the Monogahela River supports two sensitive species of concern.,alj86816,FAYETTE
287,Monongahela River at Alicia,A fish species of concern is found in this stretch of the Monogahela River.,alj86817,FAYETTE
381,Friendship Hill Slopes,"Floodplains, forested slopes, and fields support a variety of species of concern.",alj86863,FAYETTE
451,Jacobs Creek,Dry forest opening supports a plant species of concern.,alj87734,FAYETTE
466,Bridgeport Dam Park,Mature dry oak forest patch supports a plant species of concern.,alj87748,FAYETTE
512,Browneller Run Confluence,Sandy floodplain supports two plant species of concern.,alj88188,FAYETTE
513,Jacobs Creek at State Game Lands #296,NHA site description is incomplete.,alj88189,FAYETTE
514,Roundbottom Bend,"Floodplains, mesic forest, ROWs, and trail openings along the Youghiogheny River support a variety of plant species, natural communities, and rare butterflies.",alj88190,FAYETTE
515,Layton Fire Clay Mines,Old mines provide habitat for sensitive species of concern.,alj88191,FAYETTE
516,Perryopolis Islands,The islands in the Youghiogheny River near Perryopolis support a plant species of concern.,alj88192,FAYETTE
517,Youghiogheny River near Dawson,The floodplains and forest patches along this stretch of the Youghiogheny River supports several species of concern.,alj88193,FAYETTE
518,Broad Ford Shores,"This stretch of the Youghiogheny River supports two plant species of concern, as well as a sensitive species of concern.",alj88194,FAYETTE
519,Greenlick Run,"Wet, rocky forest habitat supports multiple species of concern.",alj88195,FAYETTE
520,Chestnut Ridge Park,Wet thickets of Chestnut Ridge County Park supports an invertebrate species of concern.,alj88196,FAYETTE
523,Indian Creek Valley,Forests along Indian Creek support two species of concern.,alj88198,FAYETTE
524,Laurel Run-Fayette County,NHA site description is incomplete.,alj88199,FAYETTE
525,Upper Middle Fork,"A small population of a plant species of concern is found on the moist, forested slopes along Middle Fork.",alj88200,FAYETTE
526,Connell Run,Rocky slopes above Connell Run provides habitat for the Allegheny woodrat.,alj88202,FAYETTE
527,Lower Indian Creek,Rocky floodplain along the Youghiogheny and Indian Creek supports multiple species of concern.,alj88203,FAYETTE
528,Youghiogheny River Gorge,"Rocky areas along the Youghiogheny River, south of Connellsville, supports multiple plant and animal species of concern.",alj88204,FAYETTE
529,Camp Carmel Slopes,"Steep, forested slopes above the Youghiogheny River supports multiple species of concern.",alj88205,FAYETTE
530,Middle Morgan Run,Forested mountain top supports several species of concern.,alj88206,FAYETTE
531,Youghiogheny River,"Rocky, flood-scoured river shores, floodplains, and steep forested slopes support many species and communities of concern.",alj88207,FAYETTE
532,Bear Run,Mixed forest habitat and steep stream valleys support numerous species of concern.,alj88208,FAYETTE
533,Jonathan Run,"Rich, seepy forested stream valleys and drier scrubby uplands support a variety of species of concern.",alj88209,FAYETTE
534,Upper Lick Run,"Moist stream valleys and steep, rocky gorges support multiple species of concern.",alj88211,FAYETTE
535,Upper Glade Run,Complex of upland bogs support many species of concern.,alj88212,FAYETTE
536,Jumonville,"Mature, deciduous forest near quarries and mines supports multiple species of concern.",alj88213,FAYETTE
537,Deer Lake,"Deer Lake, its tributaries, and the surrounding wetlands and forests support multiple species of concern.",alj88214,FAYETTE
538,Fort Necessity-Braddock's Grave,A small population of a plant species of concern occurs along a trail at a national park.,alj88215,FAYETTE
539,Farmington,Reverting pasture supports a plant species of concern.,alj88615,FAYETTE
540,Beaver Creek Preserve,"Rocky, forested stream corridor supports multiple species of concern.",alj88617,FAYETTE
541,Beaver Creek at Noahs Glade,Young mesic forest along Beaver Creek supports two plant species of concern.,alj88618,FAYETTE
